,epoch,train_loss,train_nucleus_IoU,train_embryo_IoU,train_mIoU,train_mIoU_backin,val_loss,val_nucleus_IoU,val_embryo_IoU,val_mIoU,val_mIoU_backin
0,1,2.5051012666601884,0.042537560132579415,0.21341140765509978,0.12797448389383959,0.12747406998521943,2.1935615274641247,0.03752476859925067,0.38134788729572044,0.20943632794748557,0.16641181477872996
1,2,2.4168893914473686,0.04244494431622137,0.21738562466910158,0.12991528449266146,0.13659363085544926,2.0983279943466187,0.039122422307849354,0.40385624655123814,0.22148933442954374,0.20032195931662744
2,3,2.354135136855276,0.04114339903097798,0.23928747110959803,0.140215435070288,0.15307949940543528,2.0033570925394693,0.04478939329906455,0.4278460676998115,0.23631773049943802,0.26758137516936714
3,4,2.2973202027772603,0.04321313919286778,0.261994194486276,0.15260366683957186,0.176347983129294,1.9275259441799588,0.05337246298604849,0.4549865787244111,0.25417952085522977,0.33605759973001337
4,5,2.1972489733445015,0.045016172260897123,0.31086906487588056,0.17794261856838883,0.20943916547058802,1.8294566604826186,0.0654028174466908,0.49243373854161576,0.27891827799415325,0.41454191370184384
5,6,2.124164706782291,0.04570410757812429,0.32010615439567686,0.1829051309869006,0.23662340322459782,1.751365111933814,0.0674477755146869,0.5304336915921269,0.29894073355340695,0.44626787136141893
6,7,2.071167149041828,0.04384708289972529,0.3399434760280455,0.19189527946388538,0.2562091554304577,1.6582031846046448,0.07979436293005977,0.572981144035729,0.32638775348289434,0.47736261236694183
7,8,1.8798703206212897,0.05536027432445075,0.42367070410601,0.23951548921523036,0.3528855304728051,1.5441952678892348,0.08947913353723917,0.6068731245432053,0.34817612904022227,0.5033961869145215
8,9,1.7710102482845909,0.061607307231390254,0.47394106703569655,0.2677741871335434,0.40181113091958853,1.4431828326649137,0.10823316565046062,0.6480211109233796,0.3781271382869201,0.530927977238697
9,10,1.707461300649141,0.0673998112324279,0.4396235497767111,0.2535116805045695,0.3873973695874699,1.3575746417045593,0.13112175779126584,0.6783194129620763,0.4047205853766711,0.5550878339860487
10,11,1.613267980123821,0.06802894258351631,0.5057247490694962,0.28687684582650624,0.4365753996190167,1.2919850680563185,0.15350111670044791,0.7074414251714705,0.4304712709359592,0.5761751348469515
11,12,1.5409828926387585,0.08103535708717005,0.5008629739807499,0.29094916553395994,0.456460545270961,1.236003789636824,0.18321177675822625,0.740590582441729,0.4619011795999776,0.6005265814896277
12,13,1.4949881842261867,0.07775014217690052,0.5601198775107178,0.3189350098438092,0.47117589117101616,1.1922579672601488,0.21073032688413953,0.7622653079480715,0.4864978174161055,0.6193779014225387
13,14,1.539394083775972,0.08411648619822264,0.5253722611110888,0.30474437365465573,0.4686221402610612,1.1513300206926134,0.22933760131692826,0.7806668000538751,0.5050022006854017,0.6343957973923964
14,15,1.420258597323769,0.09975138818818202,0.5792681819386434,0.3395097850634127,0.5001802188993982,1.1203661097420587,0.23578128953151264,0.7882945061946038,0.5120378978630582,0.6400491987712879
15,16,1.2708927957635177,0.09339363537779892,0.6248443959270984,0.3591190156524487,0.5295870313499912,1.086335665649838,0.2729351234865354,0.8039326099855394,0.5384338667360374,0.6616912426240706
16,17,1.2664534982882047,0.09585733534132848,0.6344479187244035,0.365152627032866,0.5345164683485878,1.0703430771827698,0.293187941053243,0.7992300436229441,0.5462089923380935,0.665979575175573
17,18,1.213876812081588,0.0899305400484937,0.6379804310645468,0.36395548555652024,0.5367474793644362,1.0546602076954312,0.28147839594096713,0.8082417658870202,0.5448600809139936,0.6653535994966225
18,19,1.215810173436215,0.11014787847134176,0.6520977067644962,0.381122792617919,0.553436357087001,1.031447046332889,0.2952370586845526,0.812532849181967,0.5538849539332598,0.6717669660340775
19,20,1.2124636706553007,0.10688509828530579,0.6806857575902783,0.393785427937792,0.561851805550788,1.0488290521833632,0.2502477290083394,0.7897336320577866,0.519990680533063,0.643856476330304
20,21,1.1310974735962718,0.11140974277143657,0.6715410030256105,0.3914753728985235,0.5643654507254563,0.9980553521050347,0.30292057307356723,0.8238941291468462,0.5634073511102068,0.679204423051166
21,22,1.1665299377943341,0.12119970712908922,0.6743656707329823,0.39778268893103574,0.5667896952347694,1.00433330072297,0.29264221060675005,0.7996505235090415,0.5461463670578958,0.6647333671716634
22,23,1.201759354064339,0.10543698193314052,0.6957813172680986,0.40060914960061955,0.5662316327747525,0.9766471783320109,0.31450814969015706,0.821191904775397,0.5678500272327771,0.6825355440383091
23,24,1.129981113107581,0.1433878053554548,0.7278719866609233,0.4356298960081891,0.5945248387766721,0.9748370812998878,0.30243120127403894,0.8169448287273465,0.5596880150006928,0.6759789354009197
24,25,1.1743232858808417,0.12105689496061915,0.7120469121599736,0.4165519035602964,0.5777294717335406,0.9800424608919356,0.290612906460715,0.7991858938850135,0.5448994001728642,0.663459931142748
25,26,1.1669285203281201,0.12915467255960814,0.6810994822039788,0.40512707738179343,0.5711532275256972,0.9313055045074887,0.3462482000770185,0.8377325940326048,0.5919903970548117,0.7012720681800526
26,27,1.1645623382769132,0.12974196561696835,0.6778140456723122,0.4037780056446403,0.5679777781086509,0.9431388510598077,0.3315604036316724,0.8129075061046825,0.5722339548681774,0.6842400639499544
27,28,1.0694725137007863,0.11806257625140648,0.7416161196655923,0.4298393479584994,0.5912011700198475,0.9450186789035797,0.2855795048041332,0.8162449195327197,0.5509122121684265,0.6687119409943828
28,29,1.0706955947374042,0.16447667641788985,0.7374464798499375,0.4509615781339137,0.6084220278517259,0.9291465183099111,0.310839661750931,0.8240763455850325,0.5674580036679817,0.6813165222063124
29,30,1.0664172705851103,0.15995292995147609,0.757413681964165,0.4586833059578206,0.6148024425044942,0.9269849393102858,0.2907323016695365,0.8239018009659401,0.5573170513177383,0.6734538591141972
30,31,1.1553005231054205,0.16261656030324878,0.7001478266881259,0.43138219349568735,0.5907974486547469,0.8963726295365227,0.3582272497628325,0.8320185712053338,0.5951229104840832,0.7021438506071184
31,32,1.0951426374284845,0.14890840604966707,0.7021200973711896,0.4255142517104284,0.5872155139994656,0.9144162469440036,0.3218430885179915,0.8158742245800187,0.568858656549005,0.6805263092584743
32,33,1.0045142236508822,0.15435418679987087,0.7551770236879451,0.45476560524390797,0.6150337334510582,0.9036415053738488,0.30832030792909915,0.8204979053133109,0.564409106621205,0.678284768433173
33,34,0.9208891454495882,0.19933117710763573,0.8299305412593982,0.514630859183517,0.6609405713697121,0.8855504890282949,0.32233951124934723,0.8390206382728594,0.5806800747611033,0.6916937495310667
34,35,1.0214508803267228,0.1710254747534304,0.7599267637661625,0.46547611925979643,0.6217765754689156,0.8769750032160017,0.38054199676849065,0.8302374673086467,0.6053897320385687,0.7088077538229761
35,36,0.987173507088109,0.16533694301447713,0.7676248065434809,0.466480874778979,0.6210210623580944,0.8846435414420234,0.33177197804094233,0.829637696703593,0.5807048373722676,0.6900465546499722
36,37,0.9359319241423356,0.20040577972886126,0.7965640896091865,0.4984849346690238,0.650017719859769,0.8523507118225098,0.4050118200246756,0.8439076044626548,0.6244597122436653,0.7234441833060042
37,38,1.0097133423152722,0.14577522683882396,0.7481124997734881,0.44694386330615604,0.6091706094158741,0.8719323774178823,0.3875178555577195,0.8273175567058992,0.6074177061318093,0.709011427732407
38,39,1.1043091134021157,0.15987558727145734,0.7280279781960127,0.44395178273373503,0.5995816033168283,0.8553817835119035,0.3300394192333358,0.845098137500141,0.5875687783667384,0.6972312252760904
39,40,0.9099283312496386,0.23111828150468702,0.8250224960038959,0.5280703887542915,0.6718905198510515,0.8569114274448819,0.39415868330999393,0.8284426974946072,0.6113006904023006,0.711433625093415
40,41,0.9598665394281086,0.20060165591333307,0.7944156100469625,0.4975086329801478,0.6481558349321903,0.8403678139050802,0.3894917534496823,0.8393038525342655,0.6143978029919739,0.7152866324945655
41,42,0.8950402140617371,0.20379216927060592,0.7881802552795428,0.49598621227507433,0.6475382947636644,0.8394118083847893,0.36687803643500694,0.8416926975373774,0.6042853669861922,0.7080150757444443
