,class1_IoU,class2_IoU,mIoU
0,0.38132635253054104,0.9370125974805039,0.6591694750055225
1,0.47576099210823,0.9458437786001352,0.7108023853541826
2,0.5111336032388664,0.9028605721144228,0.7069970876766446
3,0.5291113381001021,0.9385178334472637,0.7338145857736829
4,0.5398037077426391,0.9307603640844231,0.735282035913531
5,0.5500848896434635,0.9278083522175461,0.7389466209305048
6,0.49215017064846417,0.9223820133684424,0.7072660920084533
7,0.4599602911978822,0.9126237321275815,0.6862920116627318
8,0.4445165476963011,0.9161494462699282,0.6803329969831147
9,0.3856132075471698,0.9191943702984713,0.6524037889228206
10,0.4676503972758229,0.9168273768002955,0.6922388870380591
11,0.5895610913404508,0.9277546567538082,0.7586578740471295
12,0.7035347776510832,0.9355392858603624,0.8195370317557228
13,0.6102075154234436,0.9332580132228638,0.7717327643231537
14,0.5219141323792487,0.9210203477304455,0.7214672400548471
15,0.5840919980833733,0.9144999793975854,0.7492959887404793
16,0.7728813559322034,0.9254491017964072,0.8491652288643052
17,0.5940740740740741,0.9149864452727889,0.7545302596734316
18,0.6742938863067572,0.9058915198476256,0.7900927030771914
19,0.6758974358974359,0.9048612016160563,0.790379318756746
20,0.7355339805825243,0.9203084832904884,0.8279212319365064
21,0.6024615384615385,0.8782635360084107,0.7403625372349746
22,0.6987990912041545,0.9108167770419426,0.8048079341230485
23,0.7716960749009723,0.9156493276716207,0.8436727012862965
24,0.7255238749570594,0.9092672603826824,0.8173955676698709
25,0.7401315789473685,0.912739965095986,0.8264357720216773
26,0.7858654253068134,0.9291892364144679,0.8575273308606406
27,0.8174563591022443,0.9335991678224688,0.8755277634623566
28,0.7634408602150538,0.9229443941939096,0.8431926272044816
29,0.7038938810440736,0.938490093667717,0.8211919873558953
30,0.674350171652771,0.9280949783949323,0.8012225750238516
31,0.6961594555177443,0.9246107734576638,0.8103851144877041
32,0.7376842105263158,0.9400862621172652,0.8388852363217905
33,0.3986116185604677,0.8717318615799863,0.635171740070227
34,0.6333113890717578,0.9024555461473328,0.7678834676095453
35,0.6181367339709529,0.903861373765985,0.760999053868469
36,0.7222403126017584,0.9073456473405165,0.8147929799711374
37,0.6839021027231988,0.9195691049987227,0.8017356038609608
38,0.6583674755751655,0.8949636640189285,0.776665569797047
39,0.5980179622174048,0.8971619224596672,0.7475899423385359
40,0.5556643813254979,0.8806610056610057,0.7181626934932518
41,0.526816021724372,0.8925152665456346,0.7096656441350033
42,0.6427153632393807,0.9188009313154831,0.7807581472774319
43,0.6578212290502793,0.9163237870208172,0.7870725080355483
44,0.720508166969147,0.9170357611548556,0.8187719640620013
45,0.7801872843765402,0.9478257237144408,0.8640065040454905
46,0.7601702932828761,0.9284723921376723,0.8443213427102743
47,0.6988011988011988,0.929711277453319,0.8142562381272589
48,0.6119977985690699,0.9249462452837843,0.7684720219264272
49,0.5417331206804891,0.9241311796377876,0.7329321501591384
50,0.5814226925338036,0.9359547820429408,0.7586887372883722
51,0.5697741748697163,0.9134915804422804,0.7416328776559984
52,0.4592296148074037,0.9286181253575223,0.693923870082463
53,0.5454545454545454,0.9196588139723801,0.7325566797134628
54,0.5816666666666667,0.9241218945049565,0.7528942805858116
55,0.5697565543071161,0.9214756801319044,0.7456161172195103
56,0.5553539019963702,0.9221807628524047,0.7387673324243875
57,0.522972972972973,0.9014257118346337,0.7121993424038033
58,0.5806603773584905,0.9190608077384151,0.7498605925484528
59,0.5980019029495718,0.9208843789959988,0.7594431409727853
60,0.5666118421052632,0.917521933454726,0.7420668877799945
61,0.6957328385899815,0.9222384631447066,0.8089856508673441
62,0.8296450939457203,0.9340935770585276,0.8818693355021239
63,0.8236489232019504,0.9295508869040131,0.8765999050529818
64,0.7746179966044142,0.9334310236550136,0.8540245101297139
65,0.687175389532561,0.9138599966980353,0.8005176931152982
66,0.6418237615081105,0.9091810594165771,0.7755024104623438
67,0.6888096299598752,0.9172692731952445,0.8030394515775598
68,0.7569644572526417,0.9223693892568064,0.839666923254724
69,0.7068579112505603,0.923709306149293,0.8152836086999267
70,0.6880324543610548,0.9214173097668243,0.8047248820639396
71,0.5756865371734762,0.8977730733216627,0.7367298052475695
72,0.5450029222676798,0.8828350218268677,0.7139189720472737
73,0.766079475624744,0.9294734633941683,0.8477764695094561
74,0.5688578773411679,0.9059444421715829,0.7374011597563754
75,0.38098250052709254,0.8291781328295067,0.6050803166782996
76,0.5166592625499777,0.8501676445934618,0.6834134535717198
77,0.6330882352941176,0.8816321320682466,0.7573601836811821
78,0.6695073235685752,0.9002875507442489,0.7848974371564121
79,0.6959896507115135,0.8827769347496206,0.7893832927305671
80,0.6168472252929471,0.869723991507431,0.7432856084001891
81,0.6257051753740496,0.8763656304045219,0.7510354028892857
82,0.6228070175438597,0.8773990382569471,0.7501030279004034
83,0.6717752234993615,0.8901590457256461,0.7809671346125038
84,0.6526370485840478,0.8983157629467848,0.7754764057654163
85,0.6889763779527559,0.8940721970672537,0.7915242875100048
86,0.6620808254514188,0.8978572313281863,0.7799690283898025
87,0.6175478065241845,0.8799556304178136,0.7487517184709991
88,0.7439207445211649,0.911542159608712,0.8277314520649384
89,0.6821682464454977,0.909136420525657,0.7956523334855774
90,0.6308900523560209,0.8898542370089764,0.7603721446824987
91,0.6665633715525255,0.8914709916888566,0.779017181620691
92,0.7128807106598984,0.9203569343674423,0.8166188225136704
93,0.6410333433463502,0.8923349396597883,0.7666841415030692
94,0.7029733959311424,0.9084388893549199,0.8057061426430312
95,0.6930630345264491,0.9145993965806235,0.8038312155535363
96,0.7235453723243895,0.9247629083245522,0.8241541403244709
97,0.7159693576900412,0.91324028668427,0.8146048221871556
98,0.7542735042735043,0.9213598460551635,0.8378166751643339
99,0.7408031451839371,0.9187502653139195,0.8297767052489282
100,0.7258771929824561,0.9216805424427088,0.8237788677125825
101,0.6768795056642637,0.9083953241232731,0.7926374148937684
102,0.7288090837074201,0.9153198074277854,0.8220644455676027
103,0.6972477064220184,0.921907394609537,0.8095775505157776
104,0.6777996070726916,0.9193844838640736,0.7985920454683826
105,0.7347127856701667,0.9326857532379005,0.8336992694540336
106,0.682648401826484,0.9236457364996197,0.8031470691630518
107,0.6400642742367434,0.9084365225588071,0.7742503983977753
108,0.6548672566371682,0.9251095643207012,0.7899884104789348
109,0.6550802139037433,0.9278197403038275,0.7914499771037854
110,0.5057471264367817,0.9097435471823387,0.7077453368095602
111,0.45317220543806647,0.8946957236842106,0.6739339645611385
112,0.3971729490022173,0.8762081934727222,0.6366905712374697
113,0.4350808427241548,0.8643624627201046,0.6497216527221297
114,0.3652639350313769,0.8165513287744155,0.5909076319028962
115,0.40753543034911854,0.8200894536638381,0.6138124420064783
116,0.45959386655615414,0.8609926729312415,0.6602932697436978
117,0.14921286789869953,0.7713805149437185,0.460296691421209
118,0.7580459770114942,0.8935981557013655,0.8258220663564299
119,0.7956867196367764,0.8983405258708902,0.8470136227538333
120,0.7786709539121115,0.8925006743997842,0.8355858141559478
121,0.7327288428324698,0.8999550763701707,0.8163419596013202
122,0.6039864610755923,0.8698675939547947,0.7369270275151936
123,0.6659212880143113,0.8827001937722501,0.7743107408932807
124,0.8448117539026629,0.8951258302928244,0.8699687920977437
125,0.7701094716801523,0.9018937775879254,0.8360016246340389
126,0.8264023210831721,0.9230806608357629,0.8747414909594675
127,0.8435664709022958,0.914164333301149,0.8788654021017224
128,0.8225563909774436,0.9153163580246914,0.8689363745010674
129,0.8180933852140078,0.9242668228175475,0.8711801040157776
130,0.8008150789607743,0.9139977712098455,0.85740642508531
131,0.7040289256198347,0.912583357494926,0.8083061415573803
132,0.8330578512396695,0.9077798678435345,0.870418859541602
133,0.7909090909090909,0.9167876851582922,0.8538483880336916
134,0.8092324805339266,0.9188886726352666,0.8640605765845966
135,0.7484599589322382,0.9163021289005541,0.8323810439163961
136,0.723535457348407,0.9181774349083895,0.8208564461283983
137,0.6561447811447811,0.890655387008946,0.7734000840768636
138,0.5617647058823529,0.9079380214541121,0.7348513636682326
139,0.49185004074979627,0.8962291169451074,0.6940395788474518
140,0.7178858942947147,0.9010689894090864,0.8094774418519006
141,0.7603603603603604,0.8935922330097087,0.8269762966850345
142,0.7448504983388704,0.8971303501945526,0.8209904242667114
143,0.7299220603185361,0.8884978789047435,0.8092099696116398
144,0.782345013477089,0.8812614171714258,0.8318032153242574
145,0.634426783902604,0.8685654806964421,0.7514961322995231
146,0.6773641420624733,0.8841081283322421,0.7807361351973576
147,0.6809815950920245,0.8847372344390607,0.7828594147655425
148,0.7032312925170068,0.8787597043373158,0.7909954984271612
149,0.6088674275680421,0.8851410427499885,0.7470042351590154
150,0.6626126126126126,0.8819587865436688,0.7722856995781406
151,0.6997896950578338,0.8891004715270221,0.7944450832924279
152,0.7738347457627118,0.9026669705949396,0.8382508581788257
153,0.7773605150214592,0.9110138248847927,0.8441871699531259
154,0.8080967402733964,0.890960606891509,0.8495286735824528
155,0.7577788415509813,0.8988748627881449,0.828326852169563
156,0.7753686036426712,0.8889603823880872,0.8321644930153792
157,0.8369079535299374,0.8872483836948049,0.8620781686123711
158,0.7771646859083192,0.8971064023695603,0.8371355441389398
159,0.7704918032786885,0.8760338089611924,0.8232628061199405
160,0.8065908199293841,0.8886182971097735,0.8476045585195788
161,0.8550537634408603,0.8955463728191001,0.8753000681299802
162,0.8695652173913043,0.8922591716525208,0.8809121945219125
163,0.8033424018655266,0.8927060573659988,0.8480242296157627
164,0.8174190970834998,0.8912902628656053,0.8543546799745525
165,0.8203661327231121,0.8886551675781797,0.8545106501506459
166,0.7851149215614739,0.8704048394602141,0.8277598805108439
167,0.7956152758132956,0.8901345291479821,0.8428749024806388
168,0.7957418496340652,0.8888469522551424,0.8422944009446038
169,0.8214019388516033,0.8828837209302326,0.8521428298909179
170,0.8333929209867715,0.886801315171442,0.8600971180791068
171,0.8594795539033457,0.8916603915662651,0.8755699727348054
172,0.7576835975412488,0.8726192721101264,0.8151514348256876
173,0.8044027426921689,0.890628662509962,0.8475157026010655
174,0.7713931376601901,0.8903130619207893,0.8308530997904897
175,0.7186362131744456,0.8793946230494454,0.7990154181119455
176,0.6276172806785052,0.8625551915681526,0.7450862361233289
177,0.6563696706663262,0.850229533282326,0.7532996019743261
178,0.6901693201920647,0.8435179897201599,0.7668436549561123
179,0.6612422023325196,0.8539508524178938,0.7575965273752068
